FIPS,Pop,Density,HH,pop_lt_5,pct_lt_5,pop_gt_65,pct_gt_65,MedAge,White,Pctwhite,Black,Pctblack,Hispanic,PctHispanic,PctImmigra,Unemployed,InLaborFocre,pct_unemployed,MdHHInc,PctVacant,PctHighSch,PctBA,PctGrad,Md_Value
470370115003 ,863,2846.22,374,58,0.067207416,73,0.084588644,34.4,738,0.855156431,90,0.10428737,10,0.011587486,0.009269988,0,540,0,63250,0.067331671,0.935779817,0.325688073,0.082568807,125200
470370115004 ,1050,2883.758,516,29,0.027619048,168,0.16,38.3,909,0.865714286,94,0.08952381,0,0,0,0,629,0,51821,0,0.932826362,0.346007605,0.115335868,125700
470370116001 ,731,398.6365,323,0,0,178,0.243502052,52.3,697,0.953488372,34,0.046511628,0,0,0,0,420,0,43661,0.176020408,0.820598007,0.26910299,0.07807309,126500
470370116002 ,888,2503.313,495,8,0.009009009,127,0.143018018,35.6,680,0.765765766,208,0.234234234,0,0,0.059684685,23,677,0.033973412,NA,0.224137931,0.927367056,0.370946822,0.128404669,126600
470370116003 ,626,2300.764,288,0,0,43,0.068690096,33.2,481,0.768370607,145,0.231629393,0,0,0,0,421,0,63889,0.147928994,0.941787942,0.426195426,0.128898129,127500
470370116004 ,870,2782.152,452,23,0.026436782,136,0.156321839,48.5,592,0.68045977,265,0.304597701,0,0,0.042528736,27,621,0.043478261,50341,0,0.97149938,0.379182156,0.048327138,127600
470370116005 ,956,2619.316,420,41,0.042887029,199,0.208158996,50.9,504,0.527196653,438,0.458158996,0,0,0.014644351,39,630,0.061904762,65000,0.032258065,0.945392491,0.325369738,0.167235495,128800
470370117001 ,801,5278.146,312,47,0.058676654,74,0.092384519,32.4,657,0.820224719,144,0.179775281,0,0,0,22,509,0.043222004,54125,0.063063063,0.972477064,0.559633028,0.124770642,129100
470370117002 ,1395,6739.451,573,241,0.172759857,110,0.078853047,32.2,996,0.713978495,386,0.276702509,0,0,0.070250896,81,946,0.085623679,55625,0.101880878,0.907446809,0.558510638,0.281914894,129100
470370117003 ,667,3938.422,341,0,0,13,0.019490255,32.7,647,0.970014993,20,0.029985007,30,0.044977511,0,0,485,0,NA,0.319361277,0.933333333,0.620833333,0.377083333,129200
470370117004 ,808,5598.461,371,28,0.034653465,0,0,35.5,505,0.625,202,0.25,79,0.097772277,0.086633663,0,665,0,46011,0,0.830769231,0.34965035,0.01958042,129500
470370117005 ,914,5435.542,166,9,0.009846827,82,0.089715536,21,745,0.815098468,101,0.110503282,102,0.111597374,0.136761488,57,514,0.110894942,39600,0,0.875338753,0.314363144,0.046070461,130100
470370117006 ,919,3950.564,312,91,0.099020675,53,0.057671382,29.6,554,0.602829162,265,0.28835691,41,0.044613711,0,21,568,0.036971831,65913,0,1,0.14556962,0.058544304,130500
470370117007 ,686,3791.671,226,45,0.065597668,56,0.081632653,37.1,333,0.485422741,293,0.427113703,0,0,0.040816327,56,357,0.156862745,65283,0.228668942,0.83501006,0.376257545,0.128772636,130800
470370118001 ,691,3647.521,310,18,0.026049204,43,0.062228654,30.3,281,0.406657019,295,0.426917511,31,0.044862518,0.052098408,5,448,0.011160714,37237,0.060606061,0.944785276,0.384458078,0.161554192,131300
470370118002 ,497,4169.728,202,0,0,39,0.078470825,35,83,0.167002012,414,0.832997988,0,0,0,60,269,0.223048327,38875,0.384146341,0.608173077,0.237980769,0.141826923,131700
470370118003 ,1316,7948.713,392,40,0.030395137,179,0.136018237,31.3,334,0.253799392,963,0.731762918,80,0.060790274,0.060790274,134,500,0.268,25379,0.086247086,0.662464986,0.166666667,0.039215686,131800
470370118004 ,379,4890.714,110,106,0.279683377,5,0.013192612,11.7,0,0,379,1,0,0,0.121372032,0,94,0,20000,0.147286822,0.66,0,0,132900
470370119001 ,760,6142.181,231,25,0.032894737,86,0.113157895,31.9,407,0.535526316,327,0.430263158,12,0.015789474,0.040789474,29,391,0.074168798,66875,0.156934307,0.906183369,0.31130064,0.042643923,133200
470370119002 ,1020,4020.974,421,84,0.082352941,54,0.052941176,26.8,209,0.204901961,690,0.676470588,87,0.085294118,0.126470588,58,521,0.111324376,31008,0.140816327,0.782312925,0.280612245,0.136054422,133500
470370119003 ,865,5529.805,335,65,0.075144509,22,0.025433526,26.6,229,0.264739884,580,0.670520231,4,0.004624277,0.013872832,16,475,0.033684211,35208,0.188861985,0.953757225,0.294797688,0.069364162,133500
470370121001 ,606,4219.775,273,66,0.108910891,39,0.064356436,42.7,606,1,0,0,60,0.099009901,0.138613861,0,423,0,103229,0.035335689,0.868041237,0.682474227,0.393814433,133600
470370121002 ,1324,4774.723,689,87,0.06570997,79,0.059667674,37.7,1282,0.968277946,33,0.024924471,50,0.03776435,0.02265861,23,896,0.025669643,59911,0.093421053,0.9536862,0.5463138,0.191871456,133700
